product_id,embedding
100,"[0.03720169514417648, -0.011412598192691803, 0.005938318558037281, -0.017186321318149567, -0.08299935609102249, -0.006420794874429703, -0.031497061252593994, 0.08506496250629425, -0.0018516331911087036, 0.07226353883743286, -0.024108998477458954, 0.1718769669532776, 0.08725655823945999, -0.15025275945663452, 0.14325881004333496, 0.23459428548812866, 0.10942620784044266, -0.140855610370636, 0.03515522554516792, -0.1151416078209877, 0.05119303986430168, -0.13061533868312836, 0.08780829608440399, -0.0012603364884853363, 0.18579386174678802, 0.1624281257390976, -0.010995995253324509, 0.003647848963737488, -0.16568884253501892, 0.11775551736354828, 0.17190025746822357, -0.0616055428981781, -0.014011822640895844, -0.18208403885364532, 0.05817919224500656, -0.1471610814332962, -0.12932375073432922, -0.27832019329071045, -0.018642116338014603, 0.07634705305099487, 0.10642225295305252, -0.016634538769721985, -0.007739558815956116, -0.03932493180036545, -0.002171803265810013, 0.09207436442375183, 0.21282899379730225, -0.09283760190010071, -0.14520686864852905, 0.22755303978919983, -0.02987685799598694, 0.10535220801830292, 0.07801450788974762, -0.11565452814102173, -0.10790064930915833, 0.19556871056556702, 0.10605588555335999, 0.10978342592716217, -0.015824776142835617, -0.03666001930832863, -0.1379690021276474, 0.16506816446781158, -0.3133450746536255, -0.010899782180786133, 0.021330494433641434, -0.08161621540784836, 0.022542167454957962, -0.08285588026046753, -0.15570016205310822, 0.021042240783572197, -0.01753736101090908, 0.04279455915093422, 0.13237446546554565, 0.13534659147262573, -0.05288881063461304, -0.12532883882522583, 0.016988210380077362, -0.038231655955314636, 0.03576275706291199, 0.07972698658704758, -0.052161891013383865, -0.10399660468101501, -0.2586744427680969, 0.03572831302881241, 0.3169567883014679, -0.09809841215610504, 0.02174460142850876, 0.1254388839006424, -0.0052143968641757965, 0.11609973013401031, 0.18687479197978973, 0.0708632692694664, 0.15209126472473145, 0.021047508344054222, -0.002111222594976425, -0.05837244540452957, 0.07914811372756958, -0.04596437141299248, -0.04034107178449631, 0.11489836126565933, 0.11393982917070389, -0.061143334954977036, -0.10579784214496613, 0.010309722274541855, 0.11403463035821915, -0.00026233599055558443, -0.08965571224689484, -0.11051501333713531, -0.17463716864585876, -0.006817609071731567, -0.08742604404687881, -0.0017967894673347473, 0.010001511313021183, -0.1397673636674881, -0.08878655731678009, -0.09155108034610748, 0.041393328458070755, -0.24423886835575104, 0.006226134952157736, 0.021188445389270782, -0.021208809688687325, 0.031094446778297424, 0.10583861172199249, -0.04552595689892769, -0.15606121718883514, -0.05712302774190903, -0.06607595086097717, 0.032770391553640366]"
101,"[-0.06076744943857193, -0.021517127752304077, -0.08007095754146576, -0.07231811434030533, -0.06043393164873123, 0.03941737860441208, -0.04258102923631668, 0.09593680500984192, -0.06898213922977448, 0.05476091057062149, 0.04475412517786026, 0.09198753535747528, 0.09183686971664429, -0.016021765768527985, -0.002773638814687729, 0.17765769362449646, 0.08187823742628098, -0.11267313361167908, -0.02827347442507744, -0.11531272530555725, -0.01572207361459732, -0.2066648304462433, 0.11048725247383118, 0.08439421653747559, 0.028751404955983162, -0.003549659624695778, -0.07296904176473618, 0.0232788547873497, -0.21733057498931885, 0.028551923111081123, 0.12935280799865723, 0.08495976030826569, 0.014715418219566345, 0.005751702934503555, 0.005408726632595062, -0.21216700971126556, 0.00022667087614536285, -0.209463968873024, -0.026324205100536346, 0.10418753325939178, 0.15859784185886383, 0.04742325097322464, 0.10521785169839859, -0.013555895537137985, -0.15952840447425842, -0.03825380653142929, 0.13667716085910797, -0.0663575828075409, -0.08623862266540527, 0.22844067215919495, 0.057803697884082794, 0.003335239365696907, 0.14304544031620026, 0.03158816695213318, -0.26531583070755005, 0.18498486280441284, 0.08868686854839325, -0.05129563808441162, 0.04076029732823372, -0.11099886894226074, -0.10821226239204407, 0.16534705460071564, -0.2996981143951416, -0.012841429561376572, 0.11754731088876724, -0.153377965092659, -0.1702912598848343, -0.09396018087863922, -0.14107832312583923, -0.0786890760064125, -0.05802483484148979, 0.09461244940757751, -0.02688067965209484, 0.16271436214447021, -0.06627704203128815, -0.13038071990013123, -0.07130208611488342, 0.04607539251446724, -0.08800123631954193, 0.02928754687309265, 0.03228450194001198, -0.06461308151483536, -0.26298558712005615, 0.02457566186785698, 0.11294753104448318, -0.0964895486831665, 0.005058817565441132, -0.0076289852149784565, 0.009225524961948395, 0.09933662414550781, 0.20333127677440643, -0.07440449297428131, 0.23285457491874695, -0.01841881312429905, -0.17268410325050354, -0.008120041340589523, 0.003918537870049477, -0.043046899139881134, -0.05173107236623764, 0.042266473174095154, 0.06708386540412903, 0.017281552776694298, -0.07607242465019226, -0.047335412353277206, 0.01648920774459839, -0.0591658279299736, -0.14213944971561432, 0.02729162946343422, -0.07047947496175766, 0.016011983156204224, 0.0035034194588661194, 0.05484757199883461, 0.11160040646791458, -0.025605369359254837, -0.055641647428274155, -0.11893320083618164, -0.12359555810689926, -0.16249747574329376, -0.0037346803583204746, -0.05993102490901947, 0.07780181616544724, -0.1127735823392868, 0.06856678426265717, 0.06452225148677826, -0.07921284437179565, 0.07974963635206223, 0.06269289553165436, -0.04211217537522316]"
102,"[-0.11537782847881317, -0.04163696616888046, -0.0032259030267596245, 0.016743838787078857, 0.14339618384838104, -0.17792223393917084, 0.20208746194839478, 0.17792543768882751, 0.09564913064241409, 0.05778178572654724, 0.49457284808158875, 0.36748847365379333, 0.25635576248168945, 0.0492779016494751, 0.18092048168182373, 0.019162990152835846, 0.29931265115737915, -0.008075099438428879, -0.0036465413868427277, -0.15448898077011108, 0.21790733933448792, 0.05123426392674446, 0.06551060080528259, -0.05823509767651558, 0.27664732933044434, 0.035077668726444244, -0.2472733110189438, -0.03546945005655289, -0.07273950427770615, 0.11950565874576569, -0.027762800455093384, 0.027563542127609253, 0.1998123824596405, -0.5769048929214478, -0.05465216189622879, -0.2568305730819702, -0.2887755334377289, -0.3656119108200073, -0.13144487142562866, -0.05254907160997391, -0.23058319091796875, -0.3632608652114868, -0.005827866494655609, 0.3082127869129181, -0.21444150805473328, 0.14679314196109772, 0.15542080998420715, -0.07400538772344589, -0.08510837703943253, 0.004897981882095337, 0.3251989781856537, -0.04356507956981659, 0.3829318583011627, 0.19326207041740417, -0.35693585872650146, 0.11406832933425903, 0.08251668512821198, 0.31118497252464294, 0.24166713654994965, -0.039616722613573074, -0.15729986131191254, 0.09300841391086578, -0.37277162075042725, -0.022165682166814804, 0.08742056041955948, -0.20660865306854248, -0.39994484186172485, -0.15913958847522736, -0.31258392333984375, -0.22012467682361603, 0.00251847505569458, 0.2416236847639084, -0.05821824073791504, -0.026980092748999596, 0.11023729294538498, -0.1261243224143982, -0.3300750255584717, -0.08310426026582718, -0.24809527397155762, 0.24319209158420563, -0.04000670090317726, 0.04733453691005707, -0.37160712480545044, -0.06186838075518608, 0.0629420205950737, -0.15427328646183014, 0.05944143980741501, -0.09988933801651001, 0.009879153221845627, 0.09731216728687286, 0.23034502565860748, -0.29148367047309875, 0.2131059616804123, 0.03853525221347809, -0.4050140082836151, -0.16164879500865936, -0.28520891070365906, 0.2783863842487335, -0.06572993844747543, -0.2335144579410553, -0.3909604847431183, -0.25122615694999695, 0.25576549768447876, -0.039279062300920486, 0.11508513242006302, 0.1950761377811432, 0.06892013549804688, -0.02497246488928795, -0.13530097901821136, -0.3359094262123108, -0.3798390328884125, -0.18313029408454895, 0.20855718851089478, 0.1127399206161499, -0.1783950924873352, -0.3930978775024414, -0.10751006752252579, -0.3227825164794922, 0.28133058547973633, 0.3396645784378052, 0.26404860615730286, -0.0245625339448452, -0.01735905557870865, -0.15246567130088806, -0.3605042099952698, -0.4978245794773102, 0.40278705954551697, -0.02965720370411873]"
115,"[-0.0026311688125133514, -0.14399465918540955, -0.03549670800566673, -0.05336986482143402, 0.14394284784793854, -0.11785052716732025, 0.07355359941720963, 0.15145839750766754, 0.1818983256816864, -0.011245876550674438, 0.15438255667686462, 0.2922990918159485, 0.15705201029777527, 0.027712829411029816, 0.13894686102867126, 0.05084150657057762, 0.1869630068540573, -0.22413542866706848, 0.10871675610542297, -0.06528020650148392, 0.1310073435306549, 0.006770733743906021, 0.07652993500232697, 0.02411896362900734, 0.3494046926498413, -0.048879824578762054, -0.22676615417003632, -0.030287086963653564, -0.0917133241891861, 0.2009020447731018, -0.02023656666278839, -0.1354866623878479, 0.18815037608146667, -0.332780122756958, -0.18686017394065857, -0.1959712952375412, -0.26710283756256104, -0.2745057940483093, 0.0610806979238987, -0.11633390188217163, -0.12394224107265472, -0.15798069536685944, -0.008795149624347687, 0.30028924345970154, -0.26035645604133606, 0.10131308436393738, 0.3244597911834717, -0.1650945544242859, 0.08456875383853912, 0.12982934713363647, 0.08858944475650787, 0.08792884647846222, 0.26341378688812256, 0.10136574506759644, -0.1922193020582199, 0.15584415197372437, 0.060033053159713745, 0.1251378059387207, 0.14970089495182037, 0.023300472646951675, -0.13354399800300598, 0.004668857902288437, -0.27446848154067993, -0.140652596950531, 0.05205751210451126, -0.1415693610906601, -0.24582539498806, -0.20470763742923737, -0.08698402345180511, -0.0005972774233669043, -0.01768975518643856, 0.10982045531272888, -0.03498101979494095, 0.016124268993735313, 0.15950268507003784, -0.0732312798500061, -0.06467661261558533, -0.0445324182510376, -0.04185744747519493, 0.19391776621341705, -0.013171140104532242, 0.03779490292072296, -0.2250673621892929, 0.031207621097564697, 0.053258154541254044, 0.015060344710946083, 0.08035971969366074, -0.008376449346542358, -0.10423526167869568, 0.015779267996549606, 0.10274966806173325, -0.11375521123409271, 0.08314388990402222, 0.15556009113788605, -0.20411765575408936, -0.15334834158420563, -0.06624527275562286, 0.052328117191791534, 0.0062831491231918335, -0.14929965138435364, -0.11111165583133698, -0.011990044265985489, 0.06766073405742645, -0.04559369757771492, 0.015676192939281464, 0.009313828311860561, 0.12148524075746536, -0.2043295055627823, -0.05016414076089859, -0.1712363064289093, -0.2768264710903168, -0.055658869445323944, 0.05098860710859299, -0.10638266801834106, -0.21609088778495789, -0.21821215748786926, -0.05201521888375282, -0.2570180892944336, 0.20691141486167908, 0.13122519850730896, 0.10529384016990662, -0.09143999218940735, 0.06142602115869522, 0.02965235337615013, -0.20852966606616974, -0.2306661307811737, 0.1920056790113449, -0.07746079564094543]"
116,"[-0.005979754030704498, -0.12722691893577576, -0.026232559233903885, 0.0012051388621330261, 0.1638518124818802, -0.11190126836299896, 0.10776033997535706, 0.09612616896629333, 0.16977864503860474, -0.019518524408340454, 0.30611321330070496, 0.3459186255931854, 0.2663254737854004, 0.01547311246395111, 0.12468050420284271, -0.0007367953658103943, 0.17955730855464935, -0.2183082103729248, 0.09821008145809174, -0.032377928495407104, 0.19531819224357605, 0.03978602960705757, 0.04106584191322327, 0.03821134567260742, 0.3406568765640259, 0.04953859746456146, -0.33298614621162415, -0.07886432111263275, -0.12198997288942337, 0.23971721529960632, -0.022672630846500397, -0.15704134106636047, 0.19951793551445007, -0.46349000930786133, -0.15796560049057007, -0.20183251798152924, -0.26738548278808594, -0.2795538902282715, 0.09458498656749725, -0.10384538769721985, -0.06634846329689026, -0.19203361868858337, 0.0074167996644973755, 0.3486574590206146, -0.2834608554840088, 0.12426358461380005, 0.3234011232852936, -0.13010992109775543, 0.10090817511081696, 0.16005513072013855, 0.23236387968063354, 0.11174093931913376, 0.24507685005664825, 0.1140735000371933, -0.28383123874664307, 0.053536511957645416, 0.0433662086725235, 0.2285420000553131, 0.1676812618970871, 0.07862295210361481, -0.12406717240810394, -0.012183792889118195, -0.2327384054660797, -0.20211774110794067, 0.09703942388296127, -0.24107369780540466, -0.2956600785255432, -0.13587257266044617, -0.1565960943698883, -0.10654029250144958, 0.001405518501996994, 0.13189895451068878, -0.058101996779441833, 0.0416637659072876, 0.161421999335289, -0.07588949799537659, -0.06248801574110985, -0.03864032030105591, -0.09734003245830536, 0.16611216962337494, -0.019240397959947586, 0.09895255416631699, -0.22942961752414703, -0.05983242765069008, -0.00040084216743707657, -0.03673463314771652, 0.13889525830745697, -0.04696210101246834, -0.13724036514759064, 0.06319677084684372, 0.15048687160015106, -0.2600385546684265, 0.2160240113735199, 0.17713172733783722, -0.27593228220939636, -0.18634991347789764, -0.0781916081905365, 0.1389768123626709, -0.014887498691678047, -0.12381689995527267, -0.19402317702770233, -0.06976021826267242, 0.17835235595703125, -0.06671823561191559, -0.018994711339473724, 0.03770241141319275, 0.19971394538879395, -0.1785271018743515, -0.07659635692834854, -0.22280079126358032, -0.3547612726688385, -0.09616930782794952, 0.10989899933338165, -0.09268513321876526, -0.2218429446220398, -0.22477194666862488, -0.11432351917028427, -0.3288668096065521, 0.2826630473136902, 0.18655315041542053, 0.10827811062335968, -0.044295720756053925, 0.06033167243003845, -0.025792818516492844, -0.35173219442367554, -0.3591935336589813, 0.2921285331249237, -0.11653394997119904]"
117,"[0.097028948366642, -0.14306193590164185, 0.07302694022655487, -0.015561394393444061, -0.00988467875868082, -0.16138914227485657, 0.06679549813270569, 0.16784915328025818, 0.196191668510437, -0.03262704610824585, 0.3175545632839203, 0.3599696159362793, 0.17975981533527374, -0.017753660678863525, 0.160133957862854, 0.10070013254880905, 0.18922582268714905, -0.2628488838672638, 0.1406184881925583, 0.03693832829594612, 0.3305632472038269, 0.04978406801819801, 0.06561984121799469, -0.04586201533675194, 0.3822375237941742, -0.0035803522914648056, -0.2717503309249878, -0.13326804339885712, -0.12442701309919357, 0.22888123989105225, 0.11096983402967453, -0.04034417122602463, -0.023255325853824615, -0.3974187970161438, -0.19469204545021057, -0.30063116550445557, -0.21211323142051697, -0.2822718024253845, 0.061046067625284195, -0.19686025381088257, -0.043281152844429016, -0.26399046182632446, -0.07111188769340515, 0.22389104962348938, -0.13881424069404602, 0.12602780759334564, 0.30748432874679565, -0.11839936673641205, 0.05348314717411995, 0.15709346532821655, 0.10167998820543289, 0.15903538465499878, 0.1861349642276764, 0.057711727917194366, -0.32243698835372925, 0.0807594358921051, 0.0771934986114502, 0.11798521131277084, 0.1657775640487671, 0.09073324501514435, -0.17559950053691864, -0.07381327450275421, -0.31378042697906494, -0.2023349106311798, 0.0602259486913681, -0.2835080623626709, -0.19060306251049042, -0.18337976932525635, -0.09783314168453217, -0.02950221113860607, -0.03263597562909126, 0.03739054873585701, 0.007996296510100365, 0.12901268899440765, 0.16351361572742462, -0.17602834105491638, -0.1909337341785431, -0.054207198321819305, -0.13305090367794037, 0.1381904035806656, -0.08064252138137817, 0.1662161499261856, -0.13535600900650024, -0.1582523137331009, 0.017815589904785156, -0.17871782183647156, 0.18945977091789246, 0.003305933903902769, -0.11707724630832672, 0.02582104504108429, 0.18522432446479797, -0.1940155029296875, 0.25929683446884155, 0.1313050240278244, -0.06831014156341553, -0.14828665554523468, 0.0479922741651535, 0.14650756120681763, 0.09540454298257828, -0.04328276216983795, -0.0974850282073021, -0.06415806710720062, 0.16764189302921295, -0.12170284986495972, 0.10353698581457138, -0.005773971788585186, 0.1607782244682312, -0.12135763466358185, -0.08452273160219193, -0.11630173772573471, -0.3200612962245941, 0.06033695116639137, 0.05272354558110237, -0.10032758116722107, -0.3354853391647339, -0.1783810257911682, -0.02768804505467415, -0.3486144542694092, 0.2664046883583069, 0.2641320526599884, 0.0067480579018592834, -0.034938983619213104, -0.023388013243675232, -0.0021602166816592216, -0.22873803973197937, -0.23766544461250305, 0.24998760223388672, -0.17736800014972687]"
118,"[0.04216112196445465, -0.11569023877382278, 0.10284821689128876, -0.061258286237716675, 0.015568999573588371, -0.14359541237354279, 0.1307741105556488, 0.1626756191253662, 0.24119988083839417, 0.054469913244247437, 0.34423187375068665, 0.41296276450157166, 0.20630434155464172, 0.07733937352895737, 0.15089112520217896, 0.062419041991233826, 0.15547312796115875, -0.22460485994815826, 0.14425034821033478, 0.04097304865717888, 0.27381885051727295, 0.06794901192188263, 0.0506916418671608, 0.02128414623439312, 0.37944862246513367, 0.09975603222846985, -0.30593904852867126, -0.1387917548418045, -0.15978941321372986, 0.3045428991317749, 0.0887802317738533, -0.04583065211772919, 0.0016431063413619995, -0.4438992738723755, -0.1918652355670929, -0.28610509634017944, -0.24394641816616058, -0.263491690158844, 0.06198812648653984, -0.17735429108142853, 0.01042997371405363, -0.294609010219574, -0.11297973245382309, 0.21796086430549622, -0.18790000677108765, 0.14415499567985535, 0.36955589056015015, -0.1658640205860138, 0.050199102610349655, 0.17478147149085999, 0.14061932265758514, 0.22888247668743134, 0.21456854045391083, 0.05689411982893944, -0.3902946710586548, 0.0871550440788269, 0.1251363754272461, 0.14458313584327698, 0.24410222470760345, 0.08572748303413391, -0.16552311182022095, -0.03693543002009392, -0.307797372341156, -0.26442986726760864, 0.11165475845336914, -0.31232166290283203, -0.20129503309726715, -0.1928994208574295, -0.1407473385334015, -0.022289540618658066, -0.02380739524960518, 0.002728033810853958, 0.07614234834909439, 0.09623374789953232, 0.1650615930557251, -0.17243431508541107, -0.1858343780040741, -0.027719901874661446, -0.12151545286178589, 0.1512060910463333, -0.10091769695281982, 0.0946073830127716, -0.14468973875045776, -0.20855171978473663, 0.04332883656024933, -0.22208857536315918, 0.1446501463651657, -0.012056257575750351, -0.16555239260196686, 0.029487740248441696, 0.18853281438350677, -0.22789537906646729, 0.2835717797279358, 0.1093410849571228, -0.09404784440994263, -0.19824276864528656, 0.0717134028673172, 0.18117418885231018, 0.05709919333457947, -0.04067857563495636, -0.053494468331336975, -0.1455441117286682, 0.23120486736297607, -0.18027132749557495, 0.09332374483346939, -0.03281198441982269, 0.21214087307453156, -0.12528692185878754, -0.12216630578041077, -0.14422506093978882, -0.39044126868247986, 0.09519723057746887, 0.09023036807775497, -0.05854751542210579, -0.3519323468208313, -0.19855329394340515, 0.0040200622752308846, -0.3824699819087982, 0.31726720929145813, 0.3313245475292206, 0.04879546910524368, -0.04155348986387253, -0.031005091965198517, -0.010906101204454899, -0.31177061796188354, -0.33938461542129517, 0.23491168022155762, -0.1657608151435852]"
119,"[0.052154652774333954, -0.16353315114974976, -0.006815734319388866, 0.08740323036909103, 0.11983728408813477, -0.16295813024044037, 0.025668589398264885, 0.12006746232509613, 0.15537962317466736, -0.12181885540485382, 0.32440853118896484, 0.2626163959503174, 0.26975446939468384, -0.0907789096236229, 0.16445067524909973, 0.124187171459198, 0.37680232524871826, -0.13661569356918335, 0.2631513178348541, 0.07877404987812042, 0.39438050985336304, 0.08795212209224701, 0.11581715941429138, -0.034397777169942856, 0.31163638830184937, -0.07443627715110779, -0.35762929916381836, -0.05673453211784363, -0.13568076491355896, 0.1727352887392044, 0.08383195102214813, -0.03260885924100876, 0.1631171703338623, -0.6245756149291992, -0.06258677691221237, -0.2435527741909027, -0.22318805754184723, -0.29471278190612793, 0.0993414968252182, -0.1445370763540268, -0.14467141032218933, -0.32057440280914307, 7.646530866622925e-05, 0.21672874689102173, -0.17736932635307312, 0.17296777665615082, 0.3455183506011963, -0.17754307389259338, 0.02399595081806183, 0.263519823551178, 0.13724152743816376, 0.13114134967327118, 0.23763582110404968, 0.10314036905765533, -0.39649540185928345, 0.029704712331295013, 0.02075851894915104, 0.2188793420791626, 0.06525824964046478, -0.03218870609998703, -0.17642226815223694, 0.0065591223537921906, -0.3486892580986023, -0.13135482370853424, 0.042010482400655746, -0.19108502566814423, -0.26345694065093994, -0.12545143067836761, -0.1611074060201645, -0.19080641865730286, -0.07173967361450195, 0.2713531255722046, -0.08357375115156174, 0.026205645874142647, 0.20275741815567017, -0.14165358245372772, -0.2518463134765625, -0.01744471676647663, -0.21518661081790924, 0.18309800326824188, 0.03472968190908432, 0.1121925562620163, -0.13391940295696259, -0.06543059647083282, -0.019309114664793015, -0.16059798002243042, 0.19759052991867065, 0.03136366978287697, -0.04979134351015091, 0.1446199268102646, 0.16509795188903809, -0.25714147090911865, 0.2095177173614502, 0.11016447842121124, -0.3057156801223755, -0.18802101910114288, -0.14793701469898224, 0.10515140742063522, 0.022191977128386497, -0.05419386178255081, -0.2597840428352356, 0.025603819638490677, 0.15366996824741364, -0.11685092747211456, -0.01626116782426834, 0.0332089364528656, 0.04323471337556839, -0.14695341885089874, -0.14094878733158112, -0.19870072603225708, -0.3999198377132416, -0.05167130380868912, 0.06254807114601135, -0.0605662502348423, -0.34657400846481323, -0.30340826511383057, -0.16518472135066986, -0.5370867848396301, 0.20482856035232544, 0.29643669724464417, 0.034024566411972046, 0.00700870156288147, 0.028828855603933334, 0.022984251379966736, -0.26017677783966064, -0.3601973056793213, 0.2121814489364624, -0.10348936915397644]"
120,"[0.06331383436918259, -0.13492810726165771, 0.0022086771205067635, 0.16037225723266602, 0.1900806576013565, -0.19250664114952087, 0.029388148337602615, 0.21541282534599304, 0.16691038012504578, -0.09008683264255524, 0.36098289489746094, 0.33170363306999207, 0.2517586350440979, -0.07022831588983536, 0.21559959650039673, 0.06714119017124176, 0.3582345247268677, -0.16317398846149445, 0.27126798033714294, 0.07626402378082275, 0.3445816934108734, 0.10420295596122742, 0.07730868458747864, -0.016388874500989914, 0.2866879999637604, -0.06201738864183426, -0.32065853476524353, -0.0721556693315506, -0.11177636682987213, 0.17080488801002502, 0.10512126982212067, -0.0438367985188961, 0.1427212357521057, -0.6456838846206665, -0.044428661465644836, -0.2902123034000397, -0.24347306787967682, -0.24969029426574707, 0.015440862625837326, -0.07262752950191498, -0.16189581155776978, -0.2701226472854614, -0.047850072383880615, 0.2698603570461273, -0.23642310500144958, 0.188225656747818, 0.29229676723480225, -0.12188519537448883, -0.0005803182721138, 0.16005271673202515, 0.16344091296195984, 0.10752572119235992, 0.22492602467536926, 0.07660865038633347, -0.45332884788513184, 0.030584074556827545, 0.016248470172286034, 0.27678024768829346, 0.05541913956403732, 0.006741952151060104, -0.13472308218479156, 0.04891517013311386, -0.3812493681907654, -0.16089913249015808, 0.0650915578007698, -0.2449231743812561, -0.2835578918457031, -0.17000041902065277, -0.17632196843624115, -0.1526757925748825, -0.10082699358463287, 0.30872786045074463, -0.054245807230472565, 0.030680911615490913, 0.23082095384597778, -0.10815130174160004, -0.2298155575990677, -0.07859417796134949, -0.19827702641487122, 0.16902124881744385, 0.05466809496283531, 0.12120379507541656, -0.1838647425174713, -0.004540551453828812, 0.04275261238217354, -0.19176888465881348, 0.14935509860515594, 0.05136645957827568, -0.03226911276578903, 0.13995569944381714, 0.16048754751682281, -0.2622232139110565, 0.1348707675933838, 0.08577156811952591, -0.295726478099823, -0.15141640603542328, -0.13163621723651886, 0.1512068510055542, -0.010406212881207466, -0.0949205681681633, -0.29514485597610474, -0.005236577242612839, 0.12898707389831543, -0.0848742127418518, -0.020624272525310516, 0.011256514117121696, 0.08748668432235718, -0.11629635095596313, -0.12509387731552124, -0.19839945435523987, -0.45057180523872375, -0.06993992626667023, 0.12386936694383621, -0.04452865198254585, -0.36372634768486023, -0.3089659810066223, -0.17399170994758606, -0.47634992003440857, 0.24560824036598206, 0.23564743995666504, 0.08014118671417236, -0.05456927418708801, 0.09140122681856155, -0.04038739949464798, -0.36541691422462463, -0.3445265293121338, 0.29637107253074646, -0.12020613253116608]"
121,"[0.038381852209568024, -0.034463100135326385, -0.042621809989213943, -0.1074487566947937, 0.14273646473884583, -0.05233699455857277, 0.030400745570659637, 0.11053048074245453, 0.2005176544189453, 0.050049781799316406, 0.02875494211912155, 0.17850051820278168, 0.023645205423235893, -0.10233606398105621, 0.09501663595438004, 0.007699225097894669, 0.1963241994380951, -0.0885276049375534, 0.13141848146915436, -0.13069884479045868, 0.14647173881530762, 0.009148772805929184, 0.042503051459789276, -0.0010898560285568237, 0.3738459050655365, -0.04669247567653656, -0.12553934752941132, 0.06188966706395149, -0.16084718704223633, 0.21177342534065247, 0.07813255488872528, -0.1397869735956192, 0.08531828224658966, -0.22107115387916565, -0.13063225150108337, -0.1818057745695114, -0.11141730099916458, -0.2900679111480713, 0.009808316826820374, -0.09874840080738068, -0.04459930211305618, 0.0004220306873321533, -0.11856584995985031, 0.25740787386894226, -0.17124363780021667, 0.10703262686729431, 0.3681277632713318, -0.05645083263516426, 0.08565381169319153, 0.21454626321792603, -0.0889497771859169, 0.05424783378839493, 0.3134930729866028, -0.019262757152318954, -0.18380042910575867, 0.2231745421886444, 0.07955077290534973, 0.0774407684803009, 0.1914975643157959, -0.051095783710479736, -0.1080922782421112, -0.06281872093677521, -0.26168063282966614, -0.18033136427402496, 0.05613454803824425, -0.0748804360628128, -0.11703918874263763, -0.16222381591796875, -0.033629730343818665, 0.02528127282857895, -0.0530836246907711, 0.09054744243621826, 0.06418532878160477, -0.02179132215678692, 0.02088039182126522, -0.01739896461367607, 0.08089666068553925, -0.11358995735645294, 0.0625825822353363, 0.18452303111553192, -0.05896766856312752, 0.05912695825099945, -0.16765712201595306, 0.15231171250343323, 0.15262101590633392, -0.049574077129364014, 0.05262008309364319, 0.010111469775438309, -0.0570419579744339, 0.08546611666679382, -0.012047244235873222, -0.09392575919628143, 0.01959981396794319, 0.14628463983535767, -0.07935628294944763, -0.1907227486371994, 0.032875001430511475, -0.08244706690311432, -0.033119089901447296, -0.10055310279130936, -0.004730464890599251, 0.07779958844184875, -0.03967851772904396, -0.07220025360584259, 0.11101702600717545, -0.029406137764453888, -0.035035260021686554, -0.3156571686267853, -0.019024616107344627, 0.06799749284982681, -0.2247353494167328, 0.002048131078481674, -0.050548359751701355, -0.1704273223876953, -0.16148318350315094, -0.20513537526130676, -0.048245418816804886, -0.213205948472023, 0.22675874829292297, 0.09172580391168594, -0.01905760169029236, -0.09980243444442749, 0.09334556013345718, 0.04941854253411293, -0.06417926400899887, -0.20244145393371582, 0.007543250918388367, 0.03349548950791359]"
